Interval,Timestamp,Flume Depth(mm)[Central1_8S1897],AV Flow(l/s)[Central1_8S1897],Flume Flow(l/s)[Central1_8S1897],Total Precipitation (mm)[RG_RomanoWRP]
15 Min,2021-10-22 1:15,29.65,0.1,0.94,0
15 Min,2021-10-22 1:30,25.47,0.04,0.54,0
15 Min,2021-10-22 1:45,22.53,0.02,0.53,0
15 Min,2021-10-22 2:00,22.28,0.09,0.54,0
15 Min,2021-10-22 2:15,20.79,0,0.46,0
15 Min,2021-10-22 2:30,21.97,0.13,0.62,0
15 Min,2021-10-22 2:45,26.78,0.04,0.66,0
15 Min,2021-10-22 3:00,23.6,0.02,0.57,0
15 Min,2021-10-22 3:15,22.35,0.07,0.53,0
15 Min,2021-10-22 3:30,22.16,0.02,0.5,0
15 Min,2021-10-22 3:45,21.97,0.02,0.52,0
15 Min,2021-10-22 4:00,21.85,0.04,0.5,0
15 Min,2021-10-22 4:15,22.41,0.03,0.53,0
15 Min,2021-10-22 4:30,21.6,0.03,0.51,0
15 Min,2021-10-22 4:45,21.78,0.04,0.52,0
15 Min,2021-10-22 5:00,26.28,0.12,0.88,0
15 Min,2021-10-22 5:15,27.47,0.14,0.65,0
15 Min,2021-10-22 5:30,24.16,0.11,0.66,0
15 Min,2021-10-22 5:45,26.22,0.26,0.82,0
15 Min,2021-10-22 6:00,32.59,0.36,0.95,0
15 Min,2021-10-22 6:15,24.22,0.21,0.53,0
15 Min,2021-10-22 6:30,19.35,0.12,0.46,0
15 Min,2021-10-22 6:45,21.6,0.14,0.43,0
15 Min,2021-10-22 7:00,20.6,0.09,0.54,0
15 Min,2021-10-22 7:15,24.03,0.22,0.6,0
15 Min,2021-10-22 7:30,22.66,0.16,0.55,0
15 Min,2021-10-22 7:45,25.28,0.13,0.77,0
15 Min,2021-10-22 8:00,31.15,0.26,0.94,0
15 Min,2021-10-22 8:15,23.85,0.06,0.51,0
15 Min,2021-10-22 8:30,23.78,0.07,0.73,0
15 Min,2021-10-22 8:45,29.65,0.2,0.95,0
15 Min,2021-10-22 9:00,28.28,0.22,0.74,0
15 Min,2021-10-22 9:15,22.97,0.15,0.48,0
15 Min,2021-10-22 9:30,18.41,0.09,0.37,0
15 Min,2021-10-22 9:45,25.09,0.17,0.67,0
15 Min,2021-10-22 10:00,22.85,0.21,0.7,0
15 Min,2021-10-22 10:15,25.34,0.04,0.54,0
15 Min,2021-10-22 10:30,20.6,0.14,0.49,0
15 Min,2021-10-22 10:45,23.6,0.11,0.64,0
15 Min,2021-10-22 11:00,25.91,0.03,0.74,0
15 Min,2021-10-22 11:15,24.91,0.03,0.62,0
15 Min,2021-10-22 11:30,22.6,0.14,0.55,0
15 Min,2021-10-22 11:45,24.16,0.12,0.76,0
15 Min,2021-10-22 12:00,30.97,0.42,1.02,0
15 Min,2021-10-22 12:15,31.72,0.06,0.92,0
15 Min,2021-10-22 12:30,32.78,0.2,1.02,0
15 Min,2021-10-22 12:45,29.84,0.17,0.85,0
15 Min,2021-10-22 13:00,18.6,0.03,0.41,0
15 Min,2021-10-22 13:15,20.47,0.09,0.48,0
15 Min,2021-10-22 13:30,23.22,0.08,0.53,0
15 Min,2021-10-22 13:45,26.09,0.3,0.82,0
15 Min,2021-10-22 14:00,23.97,0.06,0.69,0
15 Min,2021-10-22 14:15,30.15,0.2,0.82,0
15 Min,2021-10-22 14:30,23.91,0.21,0.57,0
15 Min,2021-10-22 14:45,23.28,0.18,0.73,0
15 Min,2021-10-22 15:00,24.97,0.12,0.46,0
15 Min,2021-10-22 15:15,20.6,0.12,0.47,0
15 Min,2021-10-22 15:30,19.04,0.21,0.46,0
15 Min,2021-10-22 15:45,21.53,0.08,0.44,0
15 Min,2021-10-22 16:00,22.91,0.16,0.56,0
15 Min,2021-10-22 16:15,23.1,0.12,0.55,0
15 Min,2021-10-22 16:30,15.04,0.08,0.27,0
15 Min,2021-10-22 16:45,14.91,0.04,0.22,0
15 Min,2021-10-22 17:00,17.85,0.16,0.4,0
15 Min,2021-10-22 17:15,21.91,0.09,0.5,0
15 Min,2021-10-22 17:30,20.85,0.1,0.5,0
15 Min,2021-10-22 17:45,20.22,0.18,0.49,0
15 Min,2021-10-22 18:00,20.79,0.22,0.49,0
15 Min,2021-10-22 18:15,21.72,0.15,0.44,0
15 Min,2021-10-22 18:30,18.97,0.03,0.4,0
15 Min,2021-10-22 18:45,19.79,0.08,0.39,0
15 Min,2021-10-22 19:00,19.35,0.1,0.42,0
15 Min,2021-10-22 19:15,18.63,0.07,0.34,0
15 Min,2021-10-22 19:30,17.91,0.09,0.39,0
15 Min,2021-10-22 19:45,16.98,0.08,0.35,0
15 Min,2021-10-22 20:00,18.04,0.14,0.32,0
15 Min,2021-10-22 20:15,18.91,0.11,0.37,0
15 Min,2021-10-22 20:30,17.16,0.11,0.4,0
15 Min,2021-10-22 20:45,22.41,0.03,0.53,0
15 Min,2021-10-22 21:00,19.29,0.03,0.33,0
15 Min,2021-10-22 21:15,18.04,0.09,0.37,0
15 Min,2021-10-22 21:30,17.47,0.1,0.35,0
15 Min,2021-10-22 21:45,16.85,0.03,0.27,0
15 Min,2021-10-22 22:00,14.73,0.02,0.28,0
15 Min,2021-10-22 22:15,19.66,0.11,0.45,0
15 Min,2021-10-22 22:30,27.34,0.22,0.91,0
15 Min,2021-10-22 22:45,24.16,0.04,0.53,0
15 Min,2021-10-22 23:00,22.1,0,0.49,0
15 Min,2021-10-22 23:15,24.91,0.11,0.66,0
15 Min,2021-10-22 23:30,20.04,0.05,0.4,0
15 Min,2021-10-22 23:45,18.47,0.07,0.44,0
15 Min,2021-10-23 0:00,18.35,0.02,0.28,0
15 Min,2021-10-23 0:15,15.41,0.04,0.27,0
15 Min,2021-10-23 0:30,15.16,0.01,0.24,0
15 Min,2021-10-23 0:45,15.29,0.01,0.24,0
15 Min,2021-10-23 1:00,15.66,0.02,0.32,0
15 Min,2021-10-23 1:15,19.54,0.02,0.45,0
15 Min,2021-10-23 1:30,20.1,0.05,0.41,0
15 Min,2021-10-23 1:45,17.79,0.01,0.31,0
15 Min,2021-10-23 2:00,16.91,0.01,0.32,0
15 Min,2021-10-23 2:15,18.22,0.04,0.37,0
15 Min,2021-10-23 2:30,19.6,0.01,0.45,0
15 Min,2021-10-23 2:45,19.91,0.03,0.43,0
15 Min,2021-10-23 3:00,19.79,0.09,0.38,0
15 Min,2021-10-23 3:15,17.54,0.04,0.35,0
15 Min,2021-10-23 3:30,18.04,0,0.39,0
15 Min,2021-10-23 3:45,18.1,0,0.28,0
15 Min,2021-10-23 4:00,15.35,0.03,0.26,0
15 Min,2021-10-23 4:15,14.16,0,0.24,0
15 Min,2021-10-23 4:30,17.35,0.06,0.34,0
15 Min,2021-10-23 4:45,18.47,0,0.39,0
15 Min,2021-10-23 5:00,18.29,0.08,0.32,0
15 Min,2021-10-23 5:15,14.1,0.01,0.22,0
15 Min,2021-10-23 5:30,15.23,0.02,0.26,0
15 Min,2021-10-23 5:45,18.47,0.01,0.45,0
15 Min,2021-10-23 6:00,20.22,0.09,0.57,0
15 Min,2021-10-23 6:15,27.03,0.17,0.66,0
15 Min,2021-10-23 6:30,19.85,0.06,0.35,0
15 Min,2021-10-23 6:45,25.66,0.2,0.78,0
15 Min,2021-10-23 7:00,20.66,0.07,0.43,0
15 Min,2021-10-23 7:15,20.22,0.1,0.5,0
15 Min,2021-10-23 7:30,25.84,0.27,0.8,0
15 Min,2021-10-23 7:45,23.85,0.14,0.45,0
15 Min,2021-10-23 8:00,19.85,0.23,0.51,0
15 Min,2021-10-23 8:15,19.29,0.02,0.35,0
15 Min,2021-10-23 8:30,17.47,0.07,0.31,0
15 Min,2021-10-23 8:45,16.23,0.12,0.46,0
15 Min,2021-10-23 9:00,25.97,0.15,0.61,0
15 Min,2021-10-23 9:15,25.16,0.11,0.78,0
15 Min,2021-10-23 9:30,32.28,0.25,0.91,0
15 Min,2021-10-23 9:45,26.41,0.23,1.01,0
15 Min,2021-10-23 10:00,29.34,0.24,0.68,0
15 Min,2021-10-23 10:15,20.41,0.13,0.42,0
15 Min,2021-10-23 10:30,18.16,0.09,0.44,0
15 Min,2021-10-23 10:45,21.6,0.08,0.58,0
15 Min,2021-10-23 11:00,24.66,0.06,0.56,0
15 Min,2021-10-23 11:15,25.47,0.24,0.67,0
15 Min,2021-10-23 11:30,21.72,0.16,0.51,0
15 Min,2021-10-23 11:45,18.79,0.07,0.34,0
15 Min,2021-10-23 12:00,21.28,0.22,0.55,0
15 Min,2021-10-23 12:15,21.35,0.13,0.38,0
15 Min,2021-10-23 12:30,17.85,0.19,0.45,0
15 Min,2021-10-23 12:45,21.53,0.23,0.52,0
15 Min,2021-10-23 13:00,24.35,0.22,0.61,0
15 Min,2021-10-23 13:15,25.47,0.32,0.88,0
15 Min,2021-10-23 13:30,28.66,0.23,0.61,0
15 Min,2021-10-23 13:45,17.47,0.15,0.34,0
15 Min,2021-10-23 14:00,17.97,0.15,0.45,0
15 Min,2021-10-23 14:15,18.16,0.04,0.28,0
15 Min,2021-10-23 14:30,17.35,0.16,0.4,0
15 Min,2021-10-23 14:45,22.78,0.12,0.54,0
15 Min,2021-10-23 15:00,19.29,0.17,0.36,0
15 Min,2021-10-23 15:15,19.79,0.19,0.41,0
15 Min,2021-10-23 15:30,19.6,0.16,0.53,0
15 Min,2021-10-23 15:45,24.78,0.12,0.6,0
15 Min,2021-10-23 16:00,21.53,0.07,0.53,0
15 Min,2021-10-23 16:15,19.85,0.03,0.32,0
15 Min,2021-10-23 16:30,28.16,0.35,1.02,0
15 Min,2021-10-23 16:45,22.22,0.03,0.42,0
15 Min,2021-10-23 17:00,19.16,0.21,0.49,0
15 Min,2021-10-23 17:15,21.28,0.1,0.45,0
15 Min,2021-10-23 17:30,28.41,0.29,1.02,0
15 Min,2021-10-23 17:45,28.9,0.24,0.66,0
15 Min,2021-10-23 18:00,18.79,0.05,0.37,0
15 Min,2021-10-23 18:15,22.53,0.24,0.64,0
15 Min,2021-10-23 18:30,25.16,0.16,0.63,0
15 Min,2021-10-23 18:45,22.72,0.16,0.64,0
15 Min,2021-10-23 19:00,24.22,0.29,0.54,0
15 Min,2021-10-23 19:15,21.5,0.19,0.42,0
15 Min,2021-10-23 19:30,18.35,0.18,0.26,0
15 Min,2021-10-23 19:45,10.42,0.06,0.15,0
15 Min,2021-10-23 20:00,16.35,0.08,0.31,0
15 Min,2021-10-23 20:15,16.23,0.05,0.23,0
15 Min,2021-10-23 20:30,12.92,0.09,0.31,0
15 Min,2021-10-23 20:45,16.54,0.01,0.21,0
15 Min,2021-10-23 21:00,12.92,0.05,0.21,0
15 Min,2021-10-23 21:15,13.66,0.01,0.22,0
15 Min,2021-10-23 21:30,15.6,0.06,0.3,0
15 Min,2021-10-23 21:45,15.6,0.01,0.24,0
15 Min,2021-10-23 22:00,17.41,0.1,0.41,0
15 Min,2021-10-23 22:15,20.79,0.03,0.38,0
15 Min,2021-10-23 22:30,14.29,0.03,0.2,0
15 Min,2021-10-23 22:45,12.23,0.03,0.17,0
15 Min,2021-10-23 23:00,14.1,0.06,0.25,0
15 Min,2021-10-23 23:15,13.1,0.01,0.21,0
15 Min,2021-10-23 23:30,17.85,0.04,0.33,0
15 Min,2021-10-23 23:45,14.54,0.01,0.21,0
15 Min,2021-10-24 0:00,13.73,0.03,0.23,0
15 Min,2021-10-24 0:15,13.23,0.05,0.26,0
15 Min,2021-10-24 0:30,18.1,0.02,0.26,0
15 Min,2021-10-24 0:45,12.23,0.01,0.18,0
15 Min,2021-10-24 1:00,13.54,0.01,0.24,0
15 Min,2021-10-24 1:15,13.48,0,0.2,0
15 Min,2021-10-24 1:30,15.48,0,0.33,0
15 Min,2021-10-24 1:45,17.35,0.01,0.31,0
15 Min,2021-10-24 2:00,22.66,0.02,0.61,0
15 Min,2021-10-24 2:15,22.66,0.05,0.54,0
15 Min,2021-10-24 2:30,25.78,0.09,0.67,0
15 Min,2021-10-24 2:45,22.91,0.02,0.56,0
15 Min,2021-10-24 3:00,21.22,0.02,0.67,0
15 Min,2021-10-24 3:15,27.84,0.06,0.73,0
15 Min,2021-10-24 3:30,26.53,0.01,0.83,0
15 Min,2021-10-24 3:45,24.53,0.04,0.44,0
15 Min,2021-10-24 4:00,22.03,0.11,0.55,0
15 Min,2021-10-24 4:15,15.6,0.01,0.27,0
15 Min,2021-10-24 4:30,23.03,0.13,0.77,0
15 Min,2021-10-24 4:45,30.22,0.03,0.98,0
15 Min,2021-10-24 5:00,20.29,0.03,0.36,0
15 Min,2021-10-24 5:15,23.6,0.04,0.5,0
15 Min,2021-10-24 5:30,14.29,0.02,0.18,0
15 Min,2021-10-24 5:45,14.23,0.1,0.29,0
15 Min,2021-10-24 6:00,14.04,0.03,0.19,0
15 Min,2021-10-24 6:15,15.48,0.07,0.46,0
15 Min,2021-10-24 6:30,18.41,0.03,0.18,0
15 Min,2021-10-24 6:45,11.35,0,0.15,0
15 Min,2021-10-24 7:00,11.48,0,0.14,0
15 Min,2021-10-24 7:15,11.6,0.04,0.24,0
15 Min,2021-10-24 7:30,14.66,0.05,0.23,0
15 Min,2021-10-24 7:45,17.85,0.07,0.32,0
15 Min,2021-10-24 8:00,15.41,0.11,0.25,0
15 Min,2021-10-24 8:15,14.48,0.09,0.26,0
15 Min,2021-10-24 8:30,16.48,0.15,0.33,0
15 Min,2021-10-24 8:45,16.29,0.12,0.32,0
15 Min,2021-10-24 9:00,17.85,0.11,0.29,0
15 Min,2021-10-24 9:15,14.98,0.04,0.24,0
15 Min,2021-10-24 9:30,15.98,0.17,0.32,0
15 Min,2021-10-24 9:45,18.72,0.18,0.34,0
15 Min,2021-10-24 10:00,18.04,0.16,0.4,0
15 Min,2021-10-24 10:15,18.35,0.07,0.29,0
15 Min,2021-10-24 10:30,15.6,0.04,0.3,0
15 Min,2021-10-24 10:45,18.1,0.07,0.36,0
15 Min,2021-10-24 11:00,15.66,0.16,0.37,0
15 Min,2021-10-24 11:15,17.35,0.08,0.3,0
15 Min,2021-10-24 11:30,19.29,0.15,0.38,0
15 Min,2021-10-24 11:45,17.1,0.14,0.32,0
15 Min,2021-10-24 12:00,20.35,0.2,0.48,0
15 Min,2021-10-24 12:15,16.23,0.09,0.28,0
15 Min,2021-10-24 12:30,19.85,0.07,0.36,0
15 Min,2021-10-24 12:45,11.98,0.02,0.13,0
15 Min,2021-10-24 13:00,10.98,0.02,0.22,0
15 Min,2021-10-24 13:15,17.1,0.05,0.24,0
15 Min,2021-10-24 13:30,13.66,0.06,0.22,0
15 Min,2021-10-24 13:45,15.1,0.14,0.37,0
15 Min,2021-10-24 14:00,20.54,0.19,0.43,0
15 Min,2021-10-24 14:15,19.29,0.1,0.32,0
15 Min,2021-10-24 14:30,16.48,0.16,0.48,0
15 Min,2021-10-24 14:45,21.97,0.17,0.44,0
15 Min,2021-10-24 15:00,18.35,0.07,0.43,0.1
15 Min,2021-10-24 15:15,22.72,0.06,0.56,0.1
15 Min,2021-10-24 15:30,23.16,0.27,0.75,0.1
15 Min,2021-10-24 15:45,21.6,0.05,0.32,0.1
15 Min,2021-10-24 16:00,22.03,0.09,0.56,0
15 Min,2021-10-24 16:15,19.54,0.08,0.35,0
15 Min,2021-10-24 16:30,21.53,0.23,0.55,0.2
15 Min,2021-10-24 16:45,20.79,0.07,0.39,0.2
15 Min,2021-10-24 17:00,16.1,0.07,0.36,0.3
15 Min,2021-10-24 17:15,22.28,0.11,0.57,0.3
15 Min,2021-10-24 17:30,25.91,0.13,0.66,0.6
15 Min,2021-10-24 17:45,21.04,0.07,0.6,0.4
15 Min,2021-10-24 18:00,26.22,0.08,0.6,0.4
15 Min,2021-10-24 18:15,21.97,0.16,0.52,0.2
15 Min,2021-10-24 18:30,22.85,0.22,0.6,0.3
15 Min,2021-10-24 18:45,20.54,0.14,0.37,0.3
15 Min,2021-10-24 19:00,20.1,0.06,0.42,0.25
15 Min,2021-10-24 19:15,19.16,0.06,0.39,0.1
15 Min,2021-10-24 19:30,17.85,0.08,0.38,0
15 Min,2021-10-24 19:45,17.72,0.02,0.26,0.1
15 Min,2021-10-24 20:00,15.91,0.01,0.3,0
15 Min,2021-10-24 20:15,14.41,0.05,0.24,0
15 Min,2021-10-24 20:30,17.35,0.14,0.35,0
15 Min,2021-10-24 20:45,18.79,0.06,0.35,0
15 Min,2021-10-24 21:00,16.23,0.09,0.28,0.1
15 Min,2021-10-24 21:15,17.6,0.06,0.34,0.2
15 Min,2021-10-24 21:30,18.04,0.13,0.48,0.1
15 Min,2021-10-24 21:45,24.1,0.16,0.61,0
15 Min,2021-10-24 22:00,20.41,0.06,0.39,0
15 Min,2021-10-24 22:15,21.16,0.08,0.49,0
15 Min,2021-10-24 22:30,21.6,0.12,0.57,2.1
15 Min,2021-10-24 22:45,24.84,0.12,0.57,2.4
15 Min,2021-10-24 23:00,23.16,0.12,0.61,2.2
15 Min,2021-10-24 23:15,24.03,0.11,0.63,1.7
15 Min,2021-10-24 23:30,27.59,0.15,0.8,0.7
15 Min,2021-10-24 23:45,28.34,0.23,0.96,0.5
15 Min,2021-10-25 0:00,33.28,0.31,1.13,0.8
15 Min,2021-10-25 0:15,31.28,0.23,0.97,1.2
15 Min,2021-10-25 0:30,34.09,0.37,1.19,1.4
15 Min,2021-10-25 0:45,35.78,0.29,1.37,1.5
15 Min,2021-10-25 1:00,38.15,0.32,1.56,1.6
15 Min,2021-10-25 1:15,38.52,0.26,1.39,1.4
15 Min,2021-10-25 1:30,35.53,0.11,1.23,1.1
15 Min,2021-10-25 1:45,34.21,0.11,1.2,0.7
15 Min,2021-10-25 2:00,33.03,0.68,1.1,0.2
15 Min,2021-10-25 2:15,34.78,0.98,1.23,0.1
15 Min,2021-10-25 2:30,34.53,1.05,1.2,0.1
15 Min,2021-10-25 2:45,36.71,1.31,1.37,0.5
15 Min,2021-10-25 3:00,34.46,1.04,1.2,0.9
15 Min,2021-10-25 3:15,34.4,1.02,1.21,0.9
15 Min,2021-10-25 3:30,34.65,1.12,1.2,0.2
15 Min,2021-10-25 3:45,33.71,1.27,1.13,0
15 Min,2021-10-25 4:00,33.03,0.95,1.08,0.1
15 Min,2021-10-25 4:15,32.78,0.92,1.08,0.2
15 Min,2021-10-25 4:30,33.28,1.04,1.17,0.6
15 Min,2021-10-25 4:45,34.15,1.19,1.26,0.2
15 Min,2021-10-25 5:00,35.78,1.12,1.24,0.1
15 Min,2021-10-25 5:15,34.9,1.55,1.28,0.2
15 Min,2021-10-25 5:30,35.96,1.33,1.26,0.7
15 Min,2021-10-25 5:45,35.71,1.45,1.37,0.3
15 Min,2021-10-25 6:00,37.02,1.37,1.37,0.3
15 Min,2021-10-25 6:15,40.27,1.37,1.54,0.3
15 Min,2021-10-25 6:30,36.9,1.47,1.4,0.2
15 Min,2021-10-25 6:45,37.52,1.34,1.41,0.4
15 Min,2021-10-25 7:00,37.09,1.4,1.38,0.4
15 Min,2021-10-25 7:15,38.4,1.52,1.58,0.5
15 Min,2021-10-25 7:30,40.65,1.55,1.6,0.3
15 Min,2021-10-25 7:45,38.77,1.17,1.5,0.4
15 Min,2021-10-25 8:00,40.46,1.36,1.7,0.5
15 Min,2021-10-25 8:15,40.83,1.33,1.57,0.5
15 Min,2021-10-25 8:30,37.59,1.55,1.38,0.3
15 Min,2021-10-25 8:45,37.15,1.38,1.39,0.5
15 Min,2021-10-25 9:00,35.53,1.26,1.23,0.3
15 Min,2021-10-25 9:15,35.46,1.44,1.43,0.4
15 Min,2021-10-25 9:30,38.52,0.51,1.38,0
15 Min,2021-10-25 9:45,37.9,0.56,1.5,0.1
15 Min,2021-10-25 10:00,40.15,0.63,1.62,0.1
15 Min,2021-10-25 10:15,40.83,0.66,1.66,1.8
15 Min,2021-10-25 10:30,41.4,0.64,1.76,1.1
15 Min,2021-10-25 10:45,44.46,1.42,1.99,0.5
15 Min,2021-10-25 11:00,41.83,1.48,1.68,0.2
15 Min,2021-10-25 11:15,42.77,1.77,1.94,0.6
15 Min,2021-10-25 11:30,44.08,0.1,1.88,0.2
15 Min,2021-10-25 11:45,46.52,0.19,2.26,0.4
15 Min,2021-10-25 12:00,47.21,0.13,2.16,0.7
15 Min,2021-10-25 12:15,49.27,0.14,2.39,0.4
15 Min,2021-10-25 12:30,48.77,0.22,2.3,0.3
15 Min,2021-10-25 12:45,49.39,0.23,2.5,0.4
15 Min,2021-10-25 13:00,49.83,0.19,2.44,0.3
15 Min,2021-10-25 13:15,52.58,0.21,2.69,0.2
15 Min,2021-10-25 13:30,52.26,0.39,2.57,0.4
15 Min,2021-10-25 13:45,50.02,0.22,2.38,0.8
15 Min,2021-10-25 14:00,49.95,0.32,2.55,0.7
15 Min,2021-10-25 14:15,51.64,0.56,2.44,0.6
15 Min,2021-10-25 14:30,44.46,0.02,1.84,0.7
15 Min,2021-10-25 14:45,42.21,0,1.74,0.3
15 Min,2021-10-25 15:00,40.83,0.04,1.7,0.4
15 Min,2021-10-25 15:15,41.15,0,1.59,0.1
15 Min,2021-10-25 15:30,40.65,0.11,1.64,0.1
15 Min,2021-10-25 15:45,39.4,0.06,1.7,0
15 Min,2021-10-25 16:00,41.15,0.19,1.54,0
15 Min,2021-10-25 16:15,40.71,0.11,1.69,0
15 Min,2021-10-25 16:30,39.84,0.23,1.64,0
15 Min,2021-10-25 16:45,42.52,0.24,1.7,0
15 Min,2021-10-25 17:00,38.34,0.04,1.41,0
15 Min,2021-10-25 17:15,36.46,0,1.35,0
15 Min,2021-10-25 17:30,35.28,0.19,1.23,0
15 Min,2021-10-25 17:45,35.21,0,1.24,0
15 Min,2021-10-25 18:00,36.52,0.37,1.54,0
15 Min,2021-10-25 18:15,39.46,0.25,1.44,0
15 Min,2021-10-25 18:30,39.15,0.06,1.48,0
15 Min,2021-10-25 18:45,35.84,0,1.28,0
15 Min,2021-10-25 19:00,35.65,0,1.25,0
15 Min,2021-10-25 19:15,36.28,0.04,1.42,0
15 Min,2021-10-25 19:30,37.4,0.11,1.34,0
15 Min,2021-10-25 19:45,33.09,0.02,1.11,0
15 Min,2021-10-25 20:00,32.34,0,1.04,0
15 Min,2021-10-25 20:15,31.65,0,1.02,0
15 Min,2021-10-25 20:30,31.59,0,1.09,0
15 Min,2021-10-25 20:45,32.22,0.08,0.98,0
15 Min,2021-10-25 21:00,31.59,0.14,1.02,0
15 Min,2021-10-25 21:15,31.4,0.02,0.99,0
15 Min,2021-10-25 21:30,30.53,0,0.95,0
15 Min,2021-10-25 21:45,30.03,0,0.94,0
15 Min,2021-10-25 22:00,31.53,0.02,1.02,0
15 Min,2021-10-25 22:15,33.03,0,1.1,0
15 Min,2021-10-25 22:30,30.84,0.01,0.97,0
15 Min,2021-10-25 22:45,30.34,0,0.97,0
15 Min,2021-10-25 23:00,30.09,0.11,0.87,0
15 Min,2021-10-25 23:15,28.22,0,0.83,0
15 Min,2021-10-25 23:30,27.91,0,0.77,0
15 Min,2021-10-25 23:45,27.47,0.01,0.83,0
15 Min,2021-10-26 0:00,30.72,0.02,0.93,0
15 Min,2021-10-26 0:15,27.53,0.02,0.9,0
15 Min,2021-10-26 0:30,29.28,0,0.96,0
15 Min,2021-10-26 0:45,30.28,0,0.79,0
15 Min,2021-10-26 1:00,27.34,0,0.74,0
15 Min,2021-10-26 1:15,26.34,0,0.74,0
15 Min,2021-10-26 1:30,27.59,0,0.78,0
15 Min,2021-10-26 1:45,26.47,0,0.71,0
15 Min,2021-10-26 2:00,25.66,0,0.66,0
15 Min,2021-10-26 2:15,25.97,0,0.73,0
15 Min,2021-10-26 2:30,24.22,0,0.6,0
15 Min,2021-10-26 2:45,24.28,0,0.62,0
15 Min,2021-10-26 3:00,24.84,0,0.62,0
15 Min,2021-10-26 3:15,23.85,0,0.61,0
15 Min,2021-10-26 3:30,26.16,0.01,0.71,0
15 Min,2021-10-26 3:45,23.91,0,0.57,0
15 Min,2021-10-26 4:00,23.47,0,0.61,0
15 Min,2021-10-26 4:15,24.66,0,0.61,0
15 Min,2021-10-26 4:30,23.47,0,0.62,0
15 Min,2021-10-26 4:45,25.34,0.04,0.65,0
15 Min,2021-10-26 5:00,25.97,0.03,0.66,0
15 Min,2021-10-26 5:15,21.72,0.02,0.48,0
15 Min,2021-10-26 5:30,21.72,0,0.52,0
15 Min,2021-10-26 5:45,22.72,0.01,0.57,0
15 Min,2021-10-26 6:00,21.78,0.01,0.49,0
15 Min,2021-10-26 6:15,24.22,0.09,0.67,0
15 Min,2021-10-26 6:30,25.72,0.21,0.73,0
15 Min,2021-10-26 6:45,26.03,0.02,0.64,0
15 Min,2021-10-26 7:00,23.53,0.15,0.57,0
15 Min,2021-10-26 7:15,22.1,0.1,0.56,0
15 Min,2021-10-26 7:30,23.53,0.02,0.54,0
15 Min,2021-10-26 7:45,21.47,0,0.49,0
15 Min,2021-10-26 8:00,23.1,0.02,0.58,0
15 Min,2021-10-26 8:15,22.91,0.03,0.58,0
15 Min,2021-10-26 8:30,21.41,0.05,0.4,0
15 Min,2021-10-26 8:45,22.22,0.16,0.56,0
15 Min,2021-10-26 9:00,21.66,0.01,0.52,0
15 Min,2021-10-26 9:15,20.54,0,0.46,0
15 Min,2021-10-26 9:30,22.16,0.01,0.54,0
15 Min,2021-10-26 9:45,22.91,0.03,0.53,0
15 Min,2021-10-26 10:00,20.79,0.01,0.48,0
15 Min,2021-10-26 10:15,22.22,0,0.51,0
15 Min,2021-10-26 10:30,20.85,0.01,0.43,0
15 Min,2021-10-26 10:45,20.66,0.03,0.49,0
15 Min,2021-10-26 11:00,21.47,0.03,0.52,0
15 Min,2021-10-26 11:15,21.35,0.06,0.42,0
15 Min,2021-10-26 11:30,18.79,0.06,0.43,0
15 Min,2021-10-26 11:45,20.22,0.02,0.39,0
15 Min,2021-10-26 12:00,20.1,0,0.43,0
15 Min,2021-10-26 12:15,19.22,0,0.38,0
15 Min,2021-10-26 12:30,19.22,0,0.42,0
15 Min,2021-10-26 12:45,20.04,0.03,0.42,0
15 Min,2021-10-26 13:00,19.85,0,0.41,0
15 Min,2021-10-26 13:15,19.54,0,0.42,0
15 Min,2021-10-26 13:30,19.6,0.01,0.47,0
15 Min,2021-10-26 13:45,21.53,0,0.47,0
15 Min,2021-10-26 14:00,20.47,0.02,0.48,0
15 Min,2021-10-26 14:15,21.6,0.04,0.47,0
15 Min,2021-10-26 14:30,21.1,0.12,0.47,0
15 Min,2021-10-26 14:45,20.85,0.01,0.46,0
15 Min,2021-10-26 15:00,21.41,0.07,0.48,0
15 Min,2021-10-26 15:15,20.72,0.15,0.5,0
15 Min,2021-10-26 15:30,22.78,0.17,0.51,0
15 Min,2021-10-26 15:45,22.1,0.27,0.52,0
15 Min,2021-10-26 16:00,21.1,0.14,0.51,0
15 Min,2021-10-26 16:15,21.53,0.02,0.46,0
15 Min,2021-10-26 16:30,21.72,0.12,0.49,0
15 Min,2021-10-26 16:45,22.85,0.27,0.57,0
15 Min,2021-10-26 17:00,21.91,0.08,0.51,0
15 Min,2021-10-26 17:15,20.97,0.03,0.46,0
15 Min,2021-10-26 17:30,22.22,0.14,0.55,0
15 Min,2021-10-26 17:45,23.22,0.15,0.59,0
15 Min,2021-10-26 18:00,28.72,0.19,0.85,0
15 Min,2021-10-26 18:15,23.66,0.22,0.6,0
15 Min,2021-10-26 18:30,20.22,0.05,0.42,0
15 Min,2021-10-26 18:45,23.35,0.14,0.57,0
15 Min,2021-10-26 19:00,21.28,0.14,0.47,0
15 Min,2021-10-26 19:15,20.5,0.02,0.43,0
15 Min,2021-10-26 19:30,19.16,0.06,0.41,0
15 Min,2021-10-26 19:45,19.04,0.13,0.37,0
15 Min,2021-10-26 20:00,28.53,0.65,1,0
15 Min,2021-10-26 20:15,20.22,0.32,0.44,0
